Pitcher,PitcherThrows,PitcherTeam,TaggedPitchType,n,dre_hat_mean,run_suppress_mean,StuffPlus_mean,StuffPlus_median,RV,RelSpeed_mean,SpinRate_mean,spinDir_mean,RelHeight_mean,RelSide_mean,Extension_mean,InducedVertBreak_mean,HorzBreak_mean,delta_velo_mean,delta_IVB_mean,delta_HB_mean,RV/100,SwStr%
"Allen, Noah",Right,OLE_REB,All,403,-0.014236289124329374,0.014236289124329374,104.52541176053998,106.27297825156747,30.349999999999998,87.04243565756823,2546.289851081886,143.744842573201,6.739155607940447,1.76963429280397,5.489787667493797,3.997263945409429,-1.8158027791563274,-9.323190441767068,-15.672238534136547,-13.313763935742971,7.5310173697270475,18.36228287841191
"Allen, Noah",Right,OLE_REB,ChangeUp,2,-0.010000955747414973,0.010000955747414973,109.48337214979588,109.48337214979588,0.47,84.9003,1755.3362515,202.5762095,6.92922,1.527065,5.309265,14.11099,5.0459499999999995,-7.990369999999999,0.4051549999999988,-1.3174600000000003,23.5,0.0
"Allen, Noah",Right,OLE_REB,Curveball,78,-0.013240814331235074,0.013240814331235074,103.5961422856067,103.65373798015558,5.143999999999999,77.39169666666668,2847.1561757948716,37.24930364102564,6.68118717948718,1.7372497435897436,5.143352564102565,-16.800023205128205,-14.057507564102565,-15.498973333333334,-30.505858205128206,-20.420917564102563,6.5948717948717945,17.94871794871795
"Allen, Noah",Right,OLE_REB,Cutter,169,-0.0190575900727066,0.0190575900727066,130.35953811844595,130.461768819566,6.338,86.40206786982249,2511.8344373905325,134.19785873372783,6.748353609467455,1.7947841420118342,5.320947337278106,4.689617455621302,-3.812097278106509,-6.488602130177515,-9.016217544378698,-10.17550727810651,3.750295857988166,27.810650887573964
"Allen, Noah",Right,OLE_REB,Fastball,146,-0.00956725128615352,0.00956725128615352,76.75748950017993,75.81837649187065,17.541999999999998,92.74422732876712,2444.1558040547943,206.38283767808218,6.752651917808219,1.7663990410958903,5.861129383561644,13.706948904109588,6.201144863013699,,,,12.015068493150684,7.534246575342466
"Allen, Noah",Right,OLE_REB,Sinker,8,-0.00836095971346783,0.00836095971346783,73.3649609846327,78.23472103748486,0.8559999999999999,91.14274625,2402.3985574999997,225.905128375,6.81621625,1.67377875,5.70242625,12.414663749999999,11.6878075,,,,10.7,25.0
"Calhoun, Hudson",Right,OLE_REB,All,870,-0.016743392727022403,0.016743392727022403,111.62089436951658,118.38477549188232,33.812999999999995,88.43089357337281,2422.0240279891545,161.15822144482757,6.057654740878287,2.1175224237384875,6.005611349730362,8.95912732663423,0.9466985215429096,-8.11418121771217,-18.39235642066421,-9.276237896678968,3.886551724137931,19.310344827586206
"Calhoun, Hudson",Right,OLE_REB,ChangeUp,132,-0.0077467624140556786,0.0077467624140556786,100.0230663128474,103.82014920603869,6.501999999999999,88.00211181818182,1794.962671348485,247.4326750378788,5.947705664917386,2.2494165200591305,6.371994856642613,6.470433484848485,13.271090151515152,-5.500378181818177,-13.928751515151518,6.477090151515151,4.925757575757575,28.78787878787879
"Calhoun, Hudson",Right,OLE_REB,Cutter,287,-0.01843220979361455,0.01843220979361455,127.4821193044351,126.09068455084294,2.752,86.41687797909408,2545.3544080174215,126.69963819860627,6.049757444574802,2.117171442617555,5.762252717944509,5.174929756097561,-5.438624111498258,-7.085612020905918,-15.22425524390244,-12.232624111498257,0.9588850174216026,24.041811846689896
"Calhoun, Hudson",Right,OLE_REB,Fastball,328,-0.020893465123278113,0.020893465123278113,108.61090229496759,113.457913250386,20.665999999999997,93.45857941717792,2523.3630207822084,198.91116302134145,6.107715783688309,2.0051942477681153,6.314788128239022,20.44737708588957,6.6128068711656445,,,,6.300609756097559,11.28048780487805
